Year,SGC Code,Geography,Unemployment rate,Rt
1996,5947,Skeena-Queen Charlotte,16.5,13.86
2001,5947,Skeena-Queen Charlotte,16.5,15.25
2006,5947,Skeena-Queen Charlotte,15,12.71
2011,5947,Skeena-Queen Charlotte,14.2,12.19
2016,5947,Skeena-Queen Charlotte,12.3,12.98
