Year,SGC Code,Geography,Unemployment rate,Rt
1996,5951,Bulkley-Nechako ,12.5,13.86
2001,5951,Bulkley-Nechako ,12.6,15.25
2006,5951,Bulkley-Nechako ,10.3,12.71
2011,5951,Bulkley-Nechako ,10.5,12.19
2016,5951,Bulkley-Nechako ,12.3,12.98
